attending_school,case_no,casetype,dcps_school_against,home_school
Cente r City PCS,2012--0140,02/ 15/2012,Anacost ia Senior High Schoo l,Center City PCS
Cente r City PCS,2012--0140,02/ 15/2012,Anacost ia Sen ior High School,Center City PCS
Anaco stia Senior High School,2012--0146,02/ 15/2012,Anacost ia Senior High School,Center City PCS
Anaco stia Senior High School,2012--0146,02/ 15/2012,Anacost ia Senior High Schoo l,Center City PCS
Lab Schoo l of Was hingto n,2012--0147,02/ 15/2012,Anacost ia Senior High Schoo l,Hearst Elementary School
Ludlow -Taylor ES,2012--0144,02/ 15/2012,Lud low-Taylor ES,Hearst Elementary School
Cesar Chavez PCS,2012--0148,02/ 15/2012,Lud low-Taylor ES,Hearst Elementary School
Cesar Chavez PCS,2012--0148,02/ 15/2012,Ludlow-Taylor ES,Hearst Elementary School
Cesar Chavez PCS,2012--0148,02/ 17/2012,Ludlow-Taylor ES,Hearst Elementary School
Ludlow -Taylor ES,2012--0143,02/ 17/2012,Ludlow-Taylor ES,Hearst Elementary School
Ludlow -Taylor ES,2012--0143,02/ 17/2012,Ludlow-Taylo r ES,Hearst Elementary School
New Beginnings Vocationa,2012--0145,02/ 17/2012,Ludlow-Taylo r ES,Hearst Elementary School
New Beginnings Vocat ional School,2012-0149,02/ 17/2012,Ludlow-Taylo r ES,Hearst Elementary School
New Beginnings Vocat ional School,2012-0149,02/ 17/2012,Anaco st ia Senior High School,Hearst Elementary School
New Beginnings Vocat ional School,2012-0149,02/ 17/2012,Anacost ia Senior High School,Hearst Elementary School
New Beginnings Vocat ional School,2012-0149,02/ 17/2012,Anacost ia Senior High Schoo l,Hearst Elementary School
.. ..,2012-0149,02/ 17/2012,Anacost ia Senior High Schoo l,Hearst Elementary School
.. ..,2012-0149,02/ 17/2012,Anacost ia Senior High School,Hearst Elementary School
.. ..,2012-0149,02/ 17/2012,Deal Middle School,Hearst Elementary School
Accot ink Academy,2012-0151 -B,Against LEA,Deal M iddle School,Kelly M ille r MS
Accot ink Academy,2012-0151 -B,Against LEA,Deal Middle School,Kelly M ille r MS
Deal M iddle School,2012-0151,Exped ited Discipline,Deal Middle School,Kelly M ille r MS
Deal M iddle School,2012-0151,Exped ited Discipline,Deal M iddle School,Kelly M ille r MS
Deal M iddle School,2012-0151,Exped ited Discipline,Dunbar High School,Kelly M ille r MS
Woods Services,2012-0153,Against LEA,Dunbar High School,Kelly M ille r MS
Woods Services,2012-0153,Against LEA,Woodson Academy@,Kelly M ille r MS
Woodson Academy @ Ron Brown,2012-0152,Against LEA,Woodson Academy@,Kelly M ille r MS
Monroe School,2012-0154,Against LEA,Woodson Academy@,Kelly M ille r MS
New Beginnings Vocat ional School,2012-0156,Against LEA,Woodson Academy@,Kelly M ille r MS
New Beginnings Vocat ional School,2012-0156,Against LEA,Dunbar High School,Kelly M ille r MS
Dunbar High School,2012-0155,Against LEA,Dunbar High School,Kelly M ille r MS
Dunbar High School,2012-0155,Against LEA,Noyes Elementary School,Kelly M ille r MS
Noyes Elementa ry School,2012-01S7,Against LEA,Noyes Elementary School,Kelly M ille r MS
Noyes Elementa ry School,2012-01S7,Against LEA,Moten Elementa ry School @ Wilkinson,Moten Elementary School@
Moten Elementary School @ Wi lkinson,2012-0158,Against LEA,Moten Elementa ry School @ Wilkinson,Moten Elementary School@
Moten Elementary School @ Wi lkinson,2012-0158,Against LEA,Moten Elementary School @ Wilkinson,Wilkinson
Moten Elementary School @ Wi lkinson,2012-0158,Against LEA,Moten Elementa ry School @ Wilkinson,Wilkinson
Moten Elementa ry School @ Wi lkinson,2012-0162 -B,Against LEA,Moten Elementary School @ Wilkinson,Wilkinson
Moten Elementa ry School @ Wi lkinson,2012-0162 -B,Against LEA,Moten Elementa ry School @ Wilkinson,Wilkinson
Moten Elementa ry School @ Wi lkinson,2012-0162 -B,Against LEA,Foundat ion School of P.G. County,Wilkinson
Moten Elementa ry School @ Wi lkinson,2012-0162 -B,Against LEA,Foundat ion School of P.G.C,Wilkinson
Foundat ion School of P.G. Cou nty,2012-0159,Against LEA,Foundat ion School of P.G.C,Roosevelt High School
Foundat ion School of P.G. Cou nty,2012-0159,Against LEA,Foundat ion School of P.G. County,Roosevelt High School
Foundat ion School of P.G. Cou nty,2012-0159,Against LEA,Foundation School of P.G. County,Roosevelt High School
Amidon Elementary School,2012-0160,Against LEA,Am idon Elementary School,Roosevelt High School
Amidon Elementary School,2012-0160,Against LEA,Moten Elementary School @ Wilkinson,Roosevelt High School
Moten Elementary School @ Wi lkinson,2012-0162,Expedited Discipline,Moten Elementary School @ Wilkinson,Roosevelt High School
Moten Elementary School @ Wi lkinson,2012-0162,Expedited Discipline,Garrison ES,Roosevelt High School
Garrison ES,2012-0161,Against LEA,Garrison ES,Garrison ES
Spingarn Senior High School,2012-0163,Against LEA,Spingarn Senior High School,Garrison ES
Spingarn Senior High School,2012-0163,Against LEA,Roosevelt High School,Garrison ES
Roosevelt High School,2012-0167,Exped ited Discipline,Roosevelt High School,Garrison ES
Roosevelt High School,2012-0167,Exped ited Discipline,Browne EC,Garrison ES
Non-Attending,2012-0168,Against LEA,Browne EC,Garrison ES
Non-Attending,2012-0168,Against LEA,Prospect LC,Garrison ES
Prospect LC,2012-0169,Against LEA,Prospect LC,Garrison ES
Prospect LC,2012-0169,Against LEA,Jefferson MS,Garrison ES
Prospect LC,2012-0169,Against LEA,Jeff erson MS,Garrison ES
Jefferson MS,2012-0165,Expedited Discipline,Jeffe rson MS,Garrison ES
Jefferson MS,2012-0165,Expedited Discipline,Jefferson MS,Garrison ES
Jefferson MS,2012-0165,Expedited Discipline,Jeff erson MS,Garrison ES
Jefferson MS,2012-0165,Expedited Discipline,Kelly M iller MS,Garrison ES
Kelly M il ler MS,2012-0166,Against LEA,Kelly M iller MS,Garrison ES
Kelly M il ler MS,2012-0164,Against LEA,Kelly M iller MS,Garrison ES
Monroe,2012--0170,Aga inst LEA,Kelly M iller MS,Garrison ES
Monroe,2012--0174,Aga inst LEA,Kelly M iller MS,Garrison ES
Non-Attend,2012--0176,Aga inst LEA,Ballou STAY,Anacostia Senior High School
Non-Attend,2012--0176,Aga inst LEA,Simon Eleme ntary School,Anacostia Senior High School
Non-Attend,2012--0176,Aga inst LEA,Simon Elementary School,Anacostia Senior High School
Simon Elementary,2012--0171,Aga inst LEA,Simon Elementary School,Anacostia Senior High School
Simon Elementary,2012--0171,Aga inst LEA,Simon Eleme ntary School,Anacostia Senior High School
Simon Elementary,2012--0171,Aga inst LEA,Simon Eleme nta ry School,Anacostia Senior High School
Simon Elementary,2012--0171,Aga inst LEA,Simon Elementa ry School,Anacostia Senior High School
Simon Elementary,2012--0171,Aga inst LEA,Takoma Educational Center,Anacostia Senior High School
Takoma Educat iona l Center,2012--0173,Aga inst LEA,Takoma Educational Center,Powe ll Elementa ry Schoo l
Cesar Chavez PCS,2012--0177,Aga inst LEA,Takoma Educational Center,Powe ll Elementa ry Schoo l
Lab Schoo l of Was hington,2012--0175,Aga inst LEA,Takoma Educational Center,Key Eleme ntary School
Lab Schoo l of Was hington,2012--0175,Aga inst LEA,Shaw MS@ Garnet-Patterson,Key Eleme ntary School
Shaw MS @ Garnet -Patterson,2012--0178,Aga inst LEA,Shaw MS@ Garnet -Patterson,Key Eleme ntary School
Mary Mc Leod Bethune Day Acade my Public,2012--0178,Aga inst LEA,Shaw MS@ Garnet -Patterson,Mary McLeod Bet hune Day
Mary Mc Leod Bethune Day Acade my Public,2012--0179,Aga inst LEA,Shaw MS@ Garnet -Patterson,Mary McLeod Bet hune Day
Charter,2012--0179,Aga inst LEA,Shaw MS@ Garnet -Patterson,Academy Public Charter Schoo l
Charter,2012--0179,Aga inst LEA,LaSalle-Backus EC,Academy Public Charter Schoo l
LaSalle-Backus EC,2012--0183,Aga inst LEA,LaSalle-Backus EC,Academy Public Charter Schoo l
LaSalle-Backus EC,2012--0183,Aga inst LEA,Shaw MS@ Garnet -Patterson,Academy Public Charter Schoo l
Shaw MS@ Garnet- Patt erson,2012--0180,Aga inst LEA,Shaw MS@ Garnet -Patterson,Shaw MS @ Garnet-Patterson
Shaw MS@ Garnet- Patt erson,2012--0180,Aga inst LEA,Shaw MS@ Garnet-Patterson,Shaw MS @ Garnet-Patterson
Village Academy,2012--0182,Aga inst LEA,Village Acade my,Roosevelt High School
Village Academy,2012--0182,Aga inst LEA,Village Acade my,Woodso n Academy@ Ron
High Road DC A-M,2012--0181,Aga inst LEA,Village Acade my,Woodso n Academy@ Ron
High Road DC A-M,2012--0181,Aga inst LEA,Village Acade my,Brown
Episcopal Center fo r Children,2012--0184,Aga inst LEA,Village Acade my,Brown
Episcopal Center fo r Children,2012--0184,Aga inst LEA,Dunba r High Schoo l,Brown
Dunbar High School,2012--0185,Aga inst LEA,Dunbar High Schoo l,Brown
Dunbar High School,2012--0185,Aga inst LEA,Dunbar High School,Brown
Dunbar High School,2012--0185,Aga inst LEA,Dunba r High Schoo l,Brown
Dunbar High School,2012--0185,Aga inst LEA,Johnson MS,Brown
Johnson MS,2012--0186,Aga inst LEA,Johnson MS,Johnson M S
Johnson MS,2012--0186,Aga inst LEA,Wilson Senior High School,Johnson M S
Johnson MS,2012--0186,Aga inst LEA,Wi lson Senio r High School,Johnson M S
W ilson Senior High School,2012--0187,Aga inst LEA,Wi lson Senior High School,Wilson Senio r High School
W ilson Senior High School,2012--0187,Aga inst LEA,Wilson Senior High School,Wilson Senio r High School
W ilson Senior High School,2012--0187,Aga inst LEA,Rooseve lt High School,Wilson Senio r High School
W ilson Senior High School,2012--0187,Aga inst LEA,Roosevelt High Schoo l,Wilson Senio r High School
Roosevelt High Schoo l,2012--0191,Against LEA,Roosevelt High School,Roosevelt High School
Roosevelt High Schoo l,2012--0191,Against LEA,Rooseve lt High Schoo l,Roosevelt High School
Roosevelt High Schoo l,2012--0191,Against LEA,Ketcham Elementary Schoo l,Roosevelt High School
Ketc ham Elementar y Schoo l,2012--0190,Aga inst LEA,Ketcham Elementary Schoo l,Ketc ham Eleme ntary School
Ketc ham Elementar y Schoo l,2012--0190,Aga inst LEA,Ketcha m Eleme nt ary School,Ketc ham Eleme ntary School
Opt ions PCS,2012--0189,Aga inst LEA,Ketcha m Eleme nt ary School,Ketc ham Eleme ntary School
Opt ions PCS,2012--0189,Aga inst LEA,Kelly M iller MS,Ketc ham Eleme ntary School
Opt ions PCS,2012--0189,Aga inst LEA,Kelly Mi ller MS,Ketc ham Eleme ntary School
Kelly M il ler MS,2012--0188,Aga inst LEA,Kelly M iller MS,Ketc ham Eleme ntary School
Kelly M il ler MS,2012--0188,Aga inst LEA,Kelly M iller M S,Ketc ham Eleme ntary School
Kelly M il ler MS,2012--0188,Aga inst LEA,Simon Eleme nta ry School,Ketc ham Eleme ntary School
Kelly M il ler MS,2012--0188,Aga inst LEA,Simon Eleme ntary School,Ketc ham Eleme ntary School
Simon Elementary Schoo l,2012--0193,Expedited Discip line,Simon Elementary School,Ketc ham Eleme ntary School
Simon Elementary Schoo l,2012--0193,Expedited Discip line,Simon Eleme nta ry School,Ketc ham Eleme ntary School
Simon Elementary Schoo l,2012--0193,Expedited Discip line,Bruce Mo nroe ES@  Park View,Ketc ham Eleme ntary School
Simon Elementary Schoo l,2012--0193,Expedited Discip line,Bruce Mo nroe ES@ Park View,Ketc ham Eleme ntary School
Simon Elementary Schoo l,2012--0193,Expedited Discip line,Bruce Monroe ES@ Park View,Ketc ham Eleme ntary School
Bruce Monroe ES@ Park View,2012-0197,Aga inst LEA,Bruce Monroe ES@ Park View,Bruce Mon roe ES @ Park View
Bruce Monroe ES@ Park View,2012-0197,Aga inst LEA,Sousa M idd le School,Bruce Mon roe ES @ Park View
Sousa Middle School,2012-0194,Aga inst LEA,Sousa M idd le School,Bruce Mon roe ES @ Park View
Sousa Middle School,2012-0194,Aga inst LEA,Ballou Senior High School,Bruce Mon roe ES @ Park View
Non -At tend ing,2012-0195,Aga inst LEA,Ballou Senior High School,Ballou Senio r High School
Non -At tend ing,2012-0195,Aga inst LEA,Reed LC,Ballou Senio r High School
Reed LC,2012-0192,Aga inst LEA,Reed LC,Reed LC
Reed LC,2012-0192,Aga inst LEA,Anacost ia Senior High Schoo l,Reed LC
Non -Attend ing,2012-0196,Aga inst LEA,Anacost ia Senior High Schoo l,Anacost ia Senior High School
Non -Attend ing,2012-0196,Aga inst LEA,Anacost ia Sen ior High School,Anacost ia Senior High School
Kingsb ury Day School,2012-0201,Aga inst LEA,Anacost ia Sen ior High School,Anacost ia Senior High School
Kingsb ury Day School,2012-0201,Aga inst LEA,Ballou Senior High School,Anacost ia Senior High School
Ballou Senior High School,2012-0199,Expedited Discip line,Ballou Senior High School,Anacost ia Senior High School
Ballou Senior High School,2012-0199,Expedited Discip line,Ronald H. Brown MS,Anacost ia Senior High School
Ronald H. Brow n MS,2012-0202,Aga inst LEA,Ronald H. Brown MS,Anacost ia Senior High School
Ronald H. Brow n MS,2012-0202,Aga inst LEA,Spingarn Stay SHS,Anacost ia Senior High School
Spingarn Stay SHS,2012-0200,Exped ited Discipline,Spingarn Stay SHS,Anacost ia Senior High School
Spingarn Stay SHS,2012-0200,Exped ited Discipline,Shaw MS@ Garnet -Patterson,Anacost ia Senior High School
Spingarn Stay SHS,2012-0200,Exped ited Discipline,Shaw MS@ Garnet-Patterson,Anacost ia Senior High School
Shaw MS @ Garnet -Patt erson,2012-0198,Aga inst LEA,Shaw MS@ Garnet-Patterson,Anacost ia Senior High School
Shaw MS @ Garnet -Patt erson,2012-0198,Aga inst LEA,Shaw MS@ Garne t -Patterson,Anacost ia Senior High School
Shaw MS @ Garnet -Patt erson,2012-0198,Aga inst LEA,Shaw MS@ Garnet -Patterson,Anacost ia Senior High School
Shaw MS @ Garnet -Patt erson,2012-0198,Aga inst LEA,Shaw MS@ Garne t -Patt erson,Anacost ia Senior High School
Shaw MS @ Garnet -Patt erson,2012-0198,Aga inst LEA,Turne r @ Green Elementar y Schoo l,Anacost ia Senior High School
Turner @ Green Elemen tary Schoo l,2012-0203,Aga inst LEA,Turne r @ Green Elementar y Schoo l,Anacost ia Senior High School
Turner @ Green Elemen tary Schoo l,2012-0203,Aga inst LEA,Turne r @ Green Elementary Schoo l,Anacost ia Senior High School
Turner @ Green Elemen tary Schoo l,2012-0203,Aga inst LEA,Woodson Academy@ Ron Brown,Anacost ia Senior High School
Turner @ Green Elemen tary Schoo l,2012-0203,Aga inst LEA,Woodson Academy@ Ron Brown,Woodson Academy@ Ron
Woodson Academy,2012-0207,Aga inst LEA,Wood son Academ y @ Ron Brown,Woodson Academy@ Ron
Woodson Academy,2012-0207,Aga inst LEA,Wood son Academ y @ Ron Brown,Brown
Woodson Academy,2012-0207,Aga inst LEA,Woodson Academy@ Ron Brown,Brown
Woodson Academy,2012-0207,Aga inst LEA,Ronald H. Brown MS,Brown
Ronald H. Brow n MS,2012-0208,Against LEA,Ronald H. Brown MS,Brown
Paul PCS,2012-0205,Aga inst LEA,Ronald H. Brown MS,Brown
Paul PCS,2012-0205,Aga inst LEA,Eastern High School,Brown
Eastern High School,2012-0206,Aga inst LEA,Eastern High School,Brown
Paul PCS,2012-0204,Aga inst LEA,Eastern High School,Brown
Paul PCS,2012-0204,Aga inst LEA,Hart M iddle School,Brown
Hart M iddle School,2012-0210,Aga inst LEA,Hart M iddle School,Brown
Hart M iddle School,2012-0210,Aga inst LEA,Hart Middl e School,Brown
Chelsea School,2012-0209,Aga inst LEA,Hart Middl e School,Brown
Chelsea School,2012-0209,Aga inst LEA,Wood son Academ y @ Ron Brown,Brown
Chelsea School,2012-0209,Aga inst LEA,Woodson Academy@ Ron Brown,Brown
Woodson Academy,2012-0212,Aga inst LEA,Woodson Academy@ Ron Brown,Spingarn Senior High School
Woodson Academy,2012-0212,Aga inst LEA,Woodson Academy @ Ron Brown,Spingarn Senior High School
Imagine Southeast,2012-02 11,Aga inst LEA,Woodson Academy@ Ron Brown,Spingarn Senior High School
Imagine Southeast,2012-02 11,Aga inst LEA,Oyste r Adams Bilingua l,Spingarn Senior High School
Imagine Southeast,2012-02 11,Aga inst LEA,Oyster Adams Bilingua l,Spingarn Senior High School
Oyster Adams Bilingual,2012-0213,Against LEA,Oyster Adams Bilingual,HD Cooke Elementary School
Oyster Adams Bilingual,2012-0213,Against LEA,Eastern High School,HD Cooke Elementary School
Eastern High School,2012--0218,Against LEA,Eastern High School,Eastern High School
Eastern High School,2012--0218,Against LEA,Sousa M iddle School,Eastern High School
Sousa Middle Schoo l,2012--0217,Against LEA,Sousa M iddle School,Eastern High School
Sousa Middle Schoo l,2012--0217,Against LEA,Johnson MS,Eastern High School
Johnson MS,2012--0216,Against LEA,Johnson MS,Eastern High School
Johnson MS,2012--0216,Against LEA,Jeff erson MS,Eastern High School
Johnson MS,2012--0216,Against LEA,Jefferson MS,Eastern High School
Jefferson MS,2012-02 14,Against LEA,Jefferson MS,Eastern High School
Jefferson MS,2012-02 14,Against LEA,Jeff erson MS,Eastern High School
Ach ievement Prep Academy Public Charter School,2012--0215,Against LEA,Hendley Elementary School,Hart M iddle Schoo l
Ach ievement Prep Academy Public Charter School,2012--0215,Against LEA,Ballou Senior High School,Hart M iddle Schoo l
Ballou Senior High School,2012-0221,Against LEA,Ballou Senior High School,Dunbar High School
Ballou Senior High School,2012-0221,Against LEA,Cleveland Elementary School,Dunbar High School
Cleveland Elementary School,2012--0219,Against LEA,Cleveland Elementary School,Cleveland Elementa ry Schoo l
Cleveland Elementary School,2012--0219,Against LEA,Cleveland Elementary School,Nationa l Children's Center?
National Children 's Center? WDC,2012-0248,Against LEA,Cleveland Elementary School,Nationa l Children's Center?
National Children 's Center? WDC,2012-0248,Against LEA,Cleveland Elementary School,WDC
National Children 's Center? WDC,2012-0248,Against LEA,Columb ia Heights Education Center High School,Columb ia Heights Educat ion
Columbia Heights Education Center High School,2012-0220,Against LEA,Columb ia Heights Education Center High School,Columb ia Heights Educat ion
Columbia Heights Education Center High School,2012-0220,Against LEA,Columb ia Heights Education Center High School,Center High School
Columbia Heights Education Center High School,2012-0220,Against LEA,Accotink Academy,Center High School
Accot ink Acade my,2012--0222,Aga inst LEA,Accotink Academy,Center High School
Brightwood,2012--0223,Aga inst LEA,Brightwood EC,Center High School
KIPP (All Campuses),2012--0227,Aga inst LEA,Brightwood EC,Center High School
Cesar Chavez PCS,2012--0225,Aga inst LEA,Brightwood EC,Center High School
